dataset,matched_baseline,selected_config,validation_baseline,validation_selected,test_baseline,test_selected,delta,percent_delta,n_seeds,claim_status,metric,seeds,validation_score_delta,test_score_delta
sberbank-housing,baseline_plr_fp32:best-head,rla_plr_first_r4_basepreserve_fp32:best-head,0.23959974589399055,0.23808555503718215,0.24032049283769227,0.23974254404894635,0.0005779487887459245,0.24049084700249002,3,win,rmse,0 1 2,0.0015141908568084006,0.0005779487887459245
ecom-offers,baseline_plr:best-head,rla_ecom_sweep_k32_first_r2_bf16_n1e4_lr150:best-head,0.6348850160102797,0.6405827059477445,0.5984594094626825,0.602996968432495,0.00453755896981245,0.7582066382557886,3,win,roc-auc,0 1 2,0.005697689937464778,0.00453755896981245
homesite-insurance,baseline_plr_fp32:best-head,rla_plr_uniform_r8_basepreserve_fp32:best-head,0.9559747394738395,0.9570426026504071,0.9598083140413325,0.9610519727615279,0.0012436587201953841,0.12957365569786344,3,win,roc-auc,0 1 2,0.001067863176567596,0.0012436587201953841
cooking-time,baseline_plr_fp32:best-head,rla_plr_uniform_r8_basepreserve_fp32:best-head,0.4650304704209988,0.464708878113844,0.4826664256503634,0.48227137452854557,0.0003950511218178132,0.08184764898148987,3,win,rmse,0 1 2,0.0003215923071548388,0.0003950511218178132
delivery-eta,baseline_plr:greedy-heads,rla_plr_first_r2_basepreserve:greedy-heads,0.5555782816337522,0.5554359166341023,0.5512442414858555,0.5508705693789222,0.0003736721069332871,0.0677870313757963,3,win,rmse,0 1 2,0.00014236499964992433,0.0003736721069332871
