dataset,matched_baseline,selected_config,validation_baseline,validation_selected,test_baseline,test_selected,delta,percent_delta,n_seeds,claim_status,metric,seeds,validation_score_delta,test_score_delta
sberbank-housing,baseline_plr_fp32,rla_followup_plr_r4_first_fp32_noise1e6_lr2_warm10:best-head,0.23959974589399055,0.23822157541207933,0.24032049283769227,0.24461331927173086,-0.0042928264340385824,-1.7862922896624853,3,loss,rmse,0 1 2,0.0013781704819112173,-0.0042928264340385824
ecom-offers,baseline_plr,rla_followup_plr_r2_first_bf16_noise1e5_lr2_warm10:mean,0.6226852415226236,0.6224635370845237,0.5911614812153028,0.5909426765834958,-0.00021880463180701248,-0.03701266722540794,1,loss,roc-auc,0,-0.00022170443809987894,-0.00021880463180701248
homesite-insurance,baseline_plr,rla_followup_plr_r2_first_bf16_noise1e6_lr4_warm10:best-head,0.9553375518927122,0.9574987079556294,0.9595202065768736,0.9606171959938102,0.001096989416936589,0.11432686976443594,3,win,roc-auc,0 1 2,0.0021611560629172244,0.001096989416936589
cooking-time,baseline_plr_fp32,rla_followup_plr_r4_first_fp32_noise1e5_lr2_warm10:best-head,0.4650304704209988,0.46485292473316975,0.4826664256503634,0.48228422951446187,0.0003821961359015136,0.0791843218401876,3,win,rmse,0 1 2,0.00017754568782907265,0.0003821961359015136
delivery-eta,baseline_plr,rla_followup_plr_r2_first_bf16_noise1e5_lr2_warm10:best-head,0.5583567037133353,0.557428867279063,0.5538566936457309,0.5539625502295278,-0.00010585658379691498,-0.019112630579603527,3,loss,rmse,0 1 2,0.0009278364342723,-0.00010585658379691498
