dataset,matched_baseline,selected_config,validation_baseline,validation_selected,test_baseline,test_selected,delta,percent_delta,n_seeds,claim_status,metric,seeds,validation_score_delta,test_score_delta
ecom-offers,baseline_plr_k64:mean,rla_ecom_sweep_k64_first_r4_bf16_n1e6_lr100:mean,0.6192271623348796,0.6191085175322701,0.588246238196238,0.5881284176949364,-0.00011782050130160204,-0.02002911258096262,1,loss,roc-auc,0,-0.00011864480260947996,-0.00011782050130160204
ecom-offers,baseline_plr_k64:mean,rla_ecom_sweep_k64_uniform_r4_bf16_n1e6_lr100:mean,0.6192271623348796,0.6191085175322701,0.588246238196238,0.5881284176949364,-0.00011782050130160204,-0.02002911258096262,1,loss,roc-auc,0,-0.00011864480260947996,-0.00011782050130160204
ecom-offers,baseline_plr_k64:mean,rla_ecom_sweep_k64_first_r4_bf16_n1e5_lr100:mean,0.6192271623348796,0.6190943438380775,0.588246238196238,0.5881219924746381,-0.00012424572159985825,-0.02112137971010876,1,loss,roc-auc,0,-0.00013281849680213398,-0.00012424572159985825
ecom-offers,baseline_plr_k64:mean,rla_ecom_sweep_k64_uniform_r4_bf16_n1e5_lr100:mean,0.6192271623348796,0.6190943438380775,0.588246238196238,0.5881219924746381,-0.00012424572159985825,-0.02112137971010876,1,loss,roc-auc,0,-0.00013281849680213398,-0.00012424572159985825
ecom-offers,baseline_plr_k64:mean,rla_ecom_sweep_k64_first_r2_bf16_n1e6_lr125:mean,0.6192271623348796,0.6190883257302728,0.588246238196238,0.5882025510374806,-4.368715875735507e-05,-0.00742667881588409,1,loss,roc-auc,0,-0.0001388366046067846,-4.368715875735507e-05
ecom-offers,baseline_plr_k64:mean,rla_ecom_sweep_k64_first_r4_bf16_n1e4_lr100:mean,0.6192271623348796,0.6190637263000244,0.588246238196238,0.5880977762439626,-0.0001484619522753583,-0.025238062334336873,1,loss,roc-auc,0,-0.0001634360348552466,-0.0001484619522753583
ecom-offers,baseline_plr_k64:mean,rla_ecom_sweep_k64_uniform_r4_bf16_n1e4_lr100:mean,0.6192271623348796,0.6190637263000244,0.588246238196238,0.5880977762439626,-0.0001484619522753583,-0.025238062334336873,1,loss,roc-auc,0,-0.0001634360348552466,-0.0001484619522753583
ecom-offers,baseline_plr_k64:mean,rla_ecom_sweep_k64_first_r2_bf16_n1e5_lr125:mean,0.6192271623348796,0.6190258229082484,0.588246238196238,0.5881674029438084,-7.883525242957656e-05,-0.013401743574478627,1,loss,roc-auc,0,-0.00020133942663125293,-7.883525242957656e-05
ecom-offers,baseline_plr:best-head,rla_ecom_sweep_k32_first_r4_bf16_n1e5_lr100:best-head,0.6396333976576802,0.6393421846272334,0.6015047655173966,0.6013272800422689,-0.0001774854751277477,-0.029506910884584587,1,loss,roc-auc,0,-0.00029121303044687963,-0.0001774854751277477
ecom-offers,baseline_plr:greedy-heads,rla_ecom_sweep_k32_first_r4_bf16_n1e5_lr100:greedy-heads,0.6396333976576802,0.6393421846272334,0.6015047655173966,0.6013272800422689,-0.0001774854751277477,-0.029506910884584587,1,loss,roc-auc,0,-0.00029121303044687963,-0.0001774854751277477
ecom-offers,baseline_plr:best-head,rla_ecom_sweep_k32_uniform_r4_bf16_n1e5_lr100:best-head,0.6396333976576802,0.6393421846272334,0.6015047655173966,0.6013272800422689,-0.0001774854751277477,-0.029506910884584587,1,loss,roc-auc,0,-0.00029121303044687963,-0.0001774854751277477
ecom-offers,baseline_plr:greedy-heads,rla_ecom_sweep_k32_uniform_r4_bf16_n1e5_lr100:greedy-heads,0.6396333976576802,0.6393421846272334,0.6015047655173966,0.6013272800422689,-0.0001774854751277477,-0.029506910884584587,1,loss,roc-auc,0,-0.00029121303044687963,-0.0001774854751277477
ecom-offers,baseline_plr_fp32:best-head,rla_ecom_sweep_k32_first_r4_fp32_n1e5_lr100:best-head,0.6404955975532917,0.6397119684221592,0.6022454108584648,0.6015117579423812,-0.0007336529160836269,-0.12181959428098399,1,loss,roc-auc,0,-0.0007836291311325017,-0.0007336529160836269
ecom-offers,baseline_plr_fp32:best-head,rla_ecom_sweep_k32_uniform_r4_fp32_n1e5_lr100:best-head,0.6404955975532917,0.6397119684221592,0.6022454108584648,0.6015117579423812,-0.0007336529160836269,-0.12181959428098399,1,loss,roc-auc,0,-0.0007836291311325017,-0.0007336529160836269
ecom-offers,baseline_plr_fp32:best-head,rla_ecom_sweep_k32_first_r4_fp32_n1e6_lr100:best-head,0.6404955975532917,0.6396904757064725,0.6022454108584648,0.6014873619419144,-0.0007580489165504023,-0.12587043469037795,1,loss,roc-auc,0,-0.0008051218468191346,-0.0007580489165504023
ecom-offers,baseline_plr_fp32:best-head,rla_ecom_sweep_k32_uniform_r4_fp32_n1e6_lr100:best-head,0.6404955975532917,0.6396904757064725,0.6022454108584648,0.6014873619419144,-0.0007580489165504023,-0.12587043469037795,1,loss,roc-auc,0,-0.0008051218468191346,-0.0007580489165504023
ecom-offers,baseline_plr_fp32:best-head,rla_ecom_sweep_k32_first_r4_fp32_n1e4_lr100:best-head,0.6404955975532917,0.6396413652933652,0.6022454108584648,0.6015375394100325,-0.0007078714484323179,-0.1175387036031191,1,loss,roc-auc,0,-0.000854232259926424,-0.0007078714484323179
ecom-offers,baseline_plr_fp32:best-head,rla_ecom_sweep_k32_uniform_r4_fp32_n1e4_lr100:best-head,0.6404955975532917,0.6396413652933652,0.6022454108584648,0.6015375394100325,-0.0007078714484323179,-0.1175387036031191,1,loss,roc-auc,0,-0.000854232259926424,-0.0007078714484323179
ecom-offers,baseline_plr_k64:mean,rla_ecom_sweep_k64_first_r2_bf16_n1e6_lr150:mean,0.6192271623348796,0.6182584644115049,0.588246238196238,0.5879271096229863,-0.0003191285732516702,-0.05425084811935668,1,loss,roc-auc,0,-0.0009686979233747284,-0.0003191285732516702
ecom-offers,baseline_plr_k64:mean,rla_ecom_sweep_k64_first_r2_bf16_n1e4_lr150:mean,0.6192271623348796,0.6182510679985449,0.588246238196238,0.5879103786344818,-0.00033585956175619103,-0.05709506324869158,1,loss,roc-auc,0,-0.0009760943363347208,-0.00033585956175619103
ecom-offers,baseline_plr_k64:mean,rla_ecom_sweep_k64_first_r2_bf16_n1e5_lr150:mean,0.6192271623348796,0.6182440180045276,0.588246238196238,0.587911119410001,-0.00033511878623704305,-0.05696913375334633,1,loss,roc-auc,0,-0.0009831443303520704,-0.00033511878623704305
ecom-offers,baseline_plr_fp32:greedy-heads,rla_ecom_sweep_k32_first_r4_fp32_n1e5_lr100:greedy-heads,0.641506518049304,0.6397119684221592,0.6040506807987377,0.6015117579423812,-0.0025389228563564847,-0.42031619813742466,1,loss,roc-auc,0,-0.0017945496271448702,-0.0025389228563564847
ecom-offers,baseline_plr_fp32:greedy-heads,rla_ecom_sweep_k32_uniform_r4_fp32_n1e5_lr100:greedy-heads,0.641506518049304,0.6397119684221592,0.6040506807987377,0.6015117579423812,-0.0025389228563564847,-0.42031619813742466,1,loss,roc-auc,0,-0.0017945496271448702,-0.0025389228563564847
ecom-offers,baseline_plr_fp32:greedy-heads,rla_ecom_sweep_k32_first_r4_fp32_n1e6_lr100:greedy-heads,0.641506518049304,0.6396904757064725,0.6040506807987377,0.6014873619419144,-0.00256331885682326,-0.4243549321778393,1,loss,roc-auc,0,-0.0018160423428315031,-0.00256331885682326
ecom-offers,baseline_plr_fp32:greedy-heads,rla_ecom_sweep_k32_uniform_r4_fp32_n1e6_lr100:greedy-heads,0.641506518049304,0.6396904757064725,0.6040506807987377,0.6014873619419144,-0.00256331885682326,-0.4243549321778393,1,loss,roc-auc,0,-0.0018160423428315031,-0.00256331885682326
ecom-offers,baseline_plr_fp32:greedy-heads,rla_ecom_sweep_k32_first_r4_fp32_n1e4_lr100:greedy-heads,0.641506518049304,0.6396413652933652,0.6040506807987377,0.6015375394100325,-0.0025131413887051757,-0.41604810135832354,1,loss,roc-auc,0,-0.0018651527559387926,-0.0025131413887051757
ecom-offers,baseline_plr_fp32:greedy-heads,rla_ecom_sweep_k32_uniform_r4_fp32_n1e4_lr100:greedy-heads,0.641506518049304,0.6396413652933652,0.6040506807987377,0.6015375394100325,-0.0025131413887051757,-0.41604810135832354,1,loss,roc-auc,0,-0.0018651527559387926,-0.0025131413887051757
ecom-offers,baseline_plr_k64:best-head,rla_ecom_sweep_k64_first_r4_bf16_n1e6_lr100:best-head,0.6446551124500212,0.6421966472336451,0.6040511426211326,0.6023260345103697,-0.001725108110762874,-0.28558974382155594,1,loss,roc-auc,0,-0.002458465216376049,-0.001725108110762874
ecom-offers,baseline_plr_k64:best-head,rla_ecom_sweep_k64_uniform_r4_bf16_n1e6_lr100:best-head,0.6446551124500212,0.6421966472336451,0.6040511426211326,0.6023260345103697,-0.001725108110762874,-0.28558974382155594,1,loss,roc-auc,0,-0.002458465216376049,-0.001725108110762874
ecom-offers,baseline_plr_k64:best-head,rla_ecom_sweep_k64_first_r4_bf16_n1e5_lr100:best-head,0.6446551124500212,0.6419582704625948,0.6040511426211326,0.6021931164460806,-0.00185802617505193,-0.3075941826696128,1,loss,roc-auc,0,-0.0026968419874263683,-0.00185802617505193
ecom-offers,baseline_plr_k64:best-head,rla_ecom_sweep_k64_uniform_r4_bf16_n1e5_lr100:best-head,0.6446551124500212,0.6419582704625948,0.6040511426211326,0.6021931164460806,-0.00185802617505193,-0.3075941826696128,1,loss,roc-auc,0,-0.0026968419874263683,-0.00185802617505193
ecom-offers,baseline_plr_k64:greedy-heads,rla_ecom_sweep_k64_first_r4_bf16_n1e6_lr100:greedy-heads,0.6461145422883701,0.643108738827639,0.607264859284328,0.6053430117338965,-0.0019218475504315657,-0.31647600236517814,1,loss,roc-auc,0,-0.0030058034607310935,-0.0019218475504315657
ecom-offers,baseline_plr_k64:greedy-heads,rla_ecom_sweep_k64_uniform_r4_bf16_n1e6_lr100:greedy-heads,0.6461145422883701,0.643108738827639,0.607264859284328,0.6053430117338965,-0.0019218475504315657,-0.31647600236517814,1,loss,roc-auc,0,-0.0030058034607310935,-0.0019218475504315657
ecom-offers,baseline_plr_k64:best-head,rla_ecom_sweep_k64_first_r4_bf16_n1e4_lr100:best-head,0.6446551124500212,0.6412911670820279,0.6040511426211326,0.6016550995550846,-0.0023960430660480148,-0.3966622851917754,1,loss,roc-auc,0,-0.0033639453679932263,-0.0023960430660480148
ecom-offers,baseline_plr_k64:best-head,rla_ecom_sweep_k64_uniform_r4_bf16_n1e4_lr100:best-head,0.6446551124500212,0.6412911670820279,0.6040511426211326,0.6016550995550846,-0.0023960430660480148,-0.3966622851917754,1,loss,roc-auc,0,-0.0033639453679932263,-0.0023960430660480148
ecom-offers,baseline_plr_k64:greedy-heads,rla_ecom_sweep_k64_first_r4_bf16_n1e5_lr100:greedy-heads,0.6461145422883701,0.6426191567287303,0.607264859284328,0.6049925164315478,-0.002272342852780218,-0.37419304246555823,1,loss,roc-auc,0,-0.0034953855596397965,-0.002272342852780218
ecom-offers,baseline_plr_k64:greedy-heads,rla_ecom_sweep_k64_uniform_r4_bf16_n1e5_lr100:greedy-heads,0.6461145422883701,0.6426191567287303,0.607264859284328,0.6049925164315478,-0.002272342852780218,-0.37419304246555823,1,loss,roc-auc,0,-0.0034953855596397965,-0.002272342852780218
ecom-offers,baseline_plr_k64:greedy-heads,rla_ecom_sweep_k64_first_r4_bf16_n1e4_lr100:greedy-heads,0.6461145422883701,0.6420861653880392,0.607264859284328,0.6045987214053365,-0.0026661378789915036,-0.43904036899707855,1,loss,roc-auc,0,-0.004028376900330866,-0.0026661378789915036
ecom-offers,baseline_plr_k64:greedy-heads,rla_ecom_sweep_k64_uniform_r4_bf16_n1e4_lr100:greedy-heads,0.6461145422883701,0.6420861653880392,0.607264859284328,0.6045987214053365,-0.0026661378789915036,-0.43904036899707855,1,loss,roc-auc,0,-0.004028376900330866,-0.0026661378789915036
