wave,dataset,variant,seed,metric,metric_key,direction,validation_metric,validation_score,test_metric,inference_mode,config_path,result_path,failure,best_step
baseline_fidelity,sberbank-housing,baseline_plr,0,RMSE,rmse,lower,0.23452539387100468,-0.23452539387100468,0.23846659721529556,mean,exp/integrated/baseline_fidelity/sberbank-housing/baseline_plr-evaluation/0.toml,exp/integrated/baseline_fidelity/sberbank-housing/baseline_plr-evaluation/0,False,814
baseline_fidelity,sberbank-housing,baseline_plr,0,RMSE,rmse,lower,0.23955454428788905,-0.23955454428788905,0.26588264760298186,best-head,exp/integrated/baseline_fidelity/sberbank-housing/baseline_plr-evaluation/0.toml,exp/integrated/baseline_fidelity/sberbank-housing/baseline_plr-best-head-evaluation/0,False,814
baseline_fidelity,sberbank-housing,baseline_plr,0,RMSE,rmse,lower,0.23257941028161666,-0.23257941028161666,0.23549883338311248,greedy-heads,exp/integrated/baseline_fidelity/sberbank-housing/baseline_plr-evaluation/0.toml,exp/integrated/baseline_fidelity/sberbank-housing/baseline_plr-greedy-heads-evaluation/0,False,814
baseline_fidelity,ecom-offers,baseline_plr,0,AUROC,roc-auc,higher,0.6227054517511603,0.6227054517511603,0.591151981311678,mean,exp/integrated/baseline_fidelity/ecom-offers/baseline_plr-evaluation/0.toml,exp/integrated/baseline_fidelity/ecom-offers/baseline_plr-evaluation/0,False,321
baseline_fidelity,ecom-offers,baseline_plr,0,AUROC,roc-auc,higher,0.6404461738890127,0.6404461738890127,0.6034781946000056,best-head,exp/integrated/baseline_fidelity/ecom-offers/baseline_plr-evaluation/0.toml,exp/integrated/baseline_fidelity/ecom-offers/baseline_plr-best-head-evaluation/0,False,321
baseline_fidelity,ecom-offers,baseline_plr,0,AUROC,roc-auc,higher,0.6413971749638401,0.6413971749638401,0.6040305589800323,greedy-heads,exp/integrated/baseline_fidelity/ecom-offers/baseline_plr-evaluation/0.toml,exp/integrated/baseline_fidelity/ecom-offers/baseline_plr-greedy-heads-evaluation/0,False,321
baseline_fidelity,homesite-insurance,baseline_plr,0,AUROC,roc-auc,higher,0.9583121450834431,0.9583121450834431,0.9626260391126089,mean,exp/integrated/baseline_fidelity/homesite-insurance/baseline_plr-evaluation/0.toml,exp/integrated/baseline_fidelity/homesite-insurance/baseline_plr-evaluation/0,False,1980
baseline_fidelity,homesite-insurance,baseline_plr,0,AUROC,roc-auc,higher,0.9554763470552776,0.9554763470552776,0.959416932798502,best-head,exp/integrated/baseline_fidelity/homesite-insurance/baseline_plr-evaluation/0.toml,exp/integrated/baseline_fidelity/homesite-insurance/baseline_plr-best-head-evaluation/0,False,1980
baseline_fidelity,homesite-insurance,baseline_plr,0,AUROC,roc-auc,higher,0.9589474980445032,0.9589474980445032,0.9625170670540112,greedy-heads,exp/integrated/baseline_fidelity/homesite-insurance/baseline_plr-evaluation/0.toml,exp/integrated/baseline_fidelity/homesite-insurance/baseline_plr-greedy-heads-evaluation/0,False,1980
baseline_fidelity,cooking-time,baseline_plr,0,RMSE,rmse,lower,0.4627596029926704,-0.4627596029926704,0.4802386655626689,mean,exp/integrated/baseline_fidelity/cooking-time/baseline_plr-evaluation/0.toml,exp/integrated/baseline_fidelity/cooking-time/baseline_plr-evaluation/0,False,23088
baseline_fidelity,cooking-time,baseline_plr,0,RMSE,rmse,lower,0.4652274815891859,-0.4652274815891859,0.4820660657381116,best-head,exp/integrated/baseline_fidelity/cooking-time/baseline_plr-evaluation/0.toml,exp/integrated/baseline_fidelity/cooking-time/baseline_plr-best-head-evaluation/0,False,23088
baseline_fidelity,cooking-time,baseline_plr,0,RMSE,rmse,lower,0.4625169879783321,-0.4625169879783321,0.47990786370986477,greedy-heads,exp/integrated/baseline_fidelity/cooking-time/baseline_plr-evaluation/0.toml,exp/integrated/baseline_fidelity/cooking-time/baseline_plr-greedy-heads-evaluation/0,False,23088
baseline_fidelity,delivery-eta,baseline_plr,0,RMSE,rmse,lower,0.5558749906446844,-0.5558749906446844,0.5496162918403876,mean,exp/integrated/baseline_fidelity/delivery-eta/baseline_plr-evaluation/0.toml,exp/integrated/baseline_fidelity/delivery-eta/baseline_plr-evaluation/0,False,2184
baseline_fidelity,delivery-eta,baseline_plr,0,RMSE,rmse,lower,0.5583881453279098,-0.5583881453279098,0.5557654209580059,best-head,exp/integrated/baseline_fidelity/delivery-eta/baseline_plr-evaluation/0.toml,exp/integrated/baseline_fidelity/delivery-eta/baseline_plr-best-head-evaluation/0,False,2184
baseline_fidelity,delivery-eta,baseline_plr,0,RMSE,rmse,lower,0.5553348954063525,-0.5553348954063525,0.550360417400049,greedy-heads,exp/integrated/baseline_fidelity/delivery-eta/baseline_plr-evaluation/0.toml,exp/integrated/baseline_fidelity/delivery-eta/baseline_plr-greedy-heads-evaluation/0,False,2184
smoke,sberbank-housing,baseline_plr,0,RMSE,rmse,lower,0.23452539387100468,-0.23452539387100468,0.23846659721529556,mean,exp/integrated/smoke/sberbank-housing/baseline_plr-evaluation/0.toml,exp/integrated/smoke/sberbank-housing/baseline_plr-evaluation/0,False,814
smoke,sberbank-housing,rla_only,0,RMSE,rmse,lower,0.2354418316334552,-0.2354418316334552,0.23162903716515967,mean,exp/integrated/smoke/sberbank-housing/rla_only-evaluation/0.toml,exp/integrated/smoke/sberbank-housing/rla_only-evaluation/0,False,666
smoke,sberbank-housing,esam_only,0,RMSE,rmse,lower,0.23533073111501152,-0.23533073111501152,0.24162357572341994,mean,exp/integrated/smoke/sberbank-housing/esam_only-evaluation/0.toml,exp/integrated/smoke/sberbank-housing/esam_only-evaluation/0,False,888
