dataset,module,final_variant,source_variant,source_wave,inference_mode,validation_metric,matched_validation_baseline,validation_delta,validation_percent_delta,validation_status,validation_score,source_config_path,seed0_result_path,confirm_3seed
delivery-eta,RLA,best_rla_only,deliv_rla_r4_n0p0001_lr0p5_fr0,rescue_delivery_individual,best-head,0.5572652691682626,0.5583881453279098,0.0011228761596472348,0.20109240660684746,validation_win,-0.5572652691682626,exp/integrated/rescue_delivery_individual/delivery-eta/deliv_rla_r4_n0p0001_lr0p5_fr0-evaluation/0.toml,exp/integrated/rescue_delivery_individual/delivery-eta/deliv_rla_r4_n0p0001_lr0p5_fr0-best-head-evaluation/0,True
delivery-eta,ESAM,best_esam_only,deliv_esam_rho0p001_sf0p25_adapterf,rescue_delivery_individual,mean,0.5558269510040955,0.5558749906446844,4.8039640588859456e-05,0.008642166205956623,validation_win,-0.5558269510040955,exp/integrated/rescue_delivery_individual/delivery-eta/deliv_esam_rho0p001_sf0p25_adapterf-evaluation/0.toml,exp/integrated/rescue_delivery_individual/delivery-eta/deliv_esam_rho0p001_sf0p25_adapterf-evaluation/0,True
delivery-eta,MFB,best_mfb_only,deliv_mfb_k0p975_sf0p5_numerical_only,rescue_delivery_individual,mean,0.5558048331442785,0.5558749906446844,7.015750040584301e-05,0.012621093157020213,validation_win,-0.5558048331442785,exp/integrated/rescue_delivery_individual/delivery-eta/deliv_mfb_k0p975_sf0p5_numerical_only-evaluation/0.toml,exp/integrated/rescue_delivery_individual/delivery-eta/deliv_mfb_k0p975_sf0p5_numerical_only-evaluation/0,True
delivery-eta,CF-FISD,best_cf_fisd_only,deliv_cf_l0p005_consensus_raw,rescue_delivery_individual,greedy-heads,0.5553348954063525,0.5553348954063525,0.0,0.0,close_no_validation_win,-0.5553348954063525,exp/integrated/rescue_delivery_individual/delivery-eta/deliv_cf_l0p005_consensus_raw-evaluation/0.toml,exp/integrated/rescue_delivery_individual/delivery-eta/deliv_cf_l0p005_consensus_raw-greedy-heads-evaluation/0,True
delivery-eta,combined,best_combined,deliv_comb_rla_cf,rescue_delivery_combined,best-head,0.5572652691682626,0.5583881453279098,0.0011228761596472348,0.20109240660684746,validation_win,-0.5572652691682626,exp/integrated/rescue_delivery_combined/delivery-eta/deliv_comb_rla_cf-evaluation/0.toml,exp/integrated/rescue_delivery_combined/delivery-eta/deliv_comb_rla_cf-best-head-evaluation/0,True
