dataset,train_fraction,seed,variant,use_esam,rho,schedule,val_score,test_score,baseline_val_score,baseline_test_score,selected_reason,selected_by_validation,test_delta_vs_baseline,checkpoint_path,report_path,config_path,log_path,runtime_minutes
cooking-time,1.0,42,baseline,False,0.0,full,-7.409847110298434,-7.419776121808117,-7.409847110298434,-7.419776121808117,baseline_best_val,True,0.0,/mnt/ssd/users/prithvi/deepLearning/outputs/esam/safe_esam_all5_full_seed42/raw/cooking-time/trainfrac_1/seed42/start_0/rho_0p0/baseline,/mnt/ssd/users/prithvi/deepLearning/outputs/esam/safe_esam_all5_full_seed42/raw/cooking-time/trainfrac_1/seed42/start_0/rho_0p0/baseline/report.json,/mnt/ssd/users/prithvi/deepLearning/outputs/esam/safe_esam_all5_full_seed42/raw/cooking-time/trainfrac_1/seed42/start_0/rho_0p0/baseline/config.generated.toml,,
homesite-insurance,1.0,42,baseline,False,0.0,full,0.9227091429740233,0.9246050007669888,0.9227091429740233,0.9246050007669888,baseline_fallback_margin,True,0.0,/mnt/ssd/users/prithvi/deepLearning/outputs/esam/safe_esam_all5_full_seed42/raw/homesite-insurance/trainfrac_1/seed42/start_0/rho_0p0/baseline,/mnt/ssd/users/prithvi/deepLearning/outputs/esam/safe_esam_all5_full_seed42/raw/homesite-insurance/trainfrac_1/seed42/start_0/rho_0p0/baseline/report.json,/mnt/ssd/users/prithvi/deepLearning/outputs/esam/safe_esam_all5_full_seed42/raw/homesite-insurance/trainfrac_1/seed42/start_0/rho_0p0/baseline/config.generated.toml,,1.1085893333333334
