dataset,matched_baseline,selected_config,validation_baseline,validation_selected,test_baseline,test_selected,delta,percent_delta,n_seeds,claim_status,metric,seeds,validation_score_delta,test_score_delta
sberbank-housing,baseline_plr,leo_plr_lam005_start10,0.23589682479978494,0.23594076756151258,0.2348375346597337,0.2331512679324916,0.0016862667272420917,0.7180567321511856,3,loss,rmse,0 1 2,-4.394276172764444e-05,0.0016862667272420917
ecom-offers,baseline_plr,leo_plr_lam010_start00,0.6213752361784849,0.6218906191180182,0.5900311404257922,0.5904649486947967,0.00043380826900452085,0.07352294468584589,3,win,roc-auc,0 1 2,0.0005153829395333487,0.00043380826900452085
homesite-insurance,baseline_plr,leo_plr_lam002_start00,0.9583724999806721,0.9583099558483148,0.9623506974066776,0.9624282302612298,7.753285455225356e-05,0.00805661125005546,3,loss,roc-auc,0 1 2,-6.25441323572895e-05,7.753285455225356e-05
cooking-time,baseline_plr,leo_plr_lam002_start25,0.4627378814467653,0.4627339741610548,0.4803919909883932,0.480387357387279,4.633601114190089e-06,0.0009645458711034261,3,win,rmse,0 1 2,3.9072857105360015e-06,4.633601114190089e-06
delivery-eta,baseline_plr,leo_plr_lam010_start00,0.556224759405975,0.5561044868069823,0.5495514710563217,0.5503991863232064,-0.0008477152668846522,-0.15425584527236624,3,loss,rmse,0 1 2,0.00012027259899272114,-0.0008477152668846522
